Id,Predicted
1,-3084.0515129315836
2,-3718.9453005999458
3,-3769.981778708335
4,-3723.0282188486167
5,-3917.647322035274
6,-2687.3279564357053
7,-3463.7629100579998
8,-2613.154941584846
9,-3123.5197226687383
10,-3349.4411990952076
11,-3495.0652832978117
12,-3798.5622064490326
13,-3735.957459969409
14,-3565.835866274778
15,-3627.7601263796237
16,-3171.153768903235
17,-3570.5992708982276
18,-3495.0652832978117
19,-3420.8922684469526
20,-3772.0232378326705
21,-2705.701088554725
22,-3571.279757273006
23,-3349.4411990952076
24,-3756.3720512127643
25,-3708.738004978268
26,-3789.0353972021335
27,-3349.4411990952076
28,-3485.538474050912
29,-3769.981778708335
30,-3485.538474050912
31,-3772.0232378326705
32,-3810.8109611950463
33,-3531.811547535852
34,-3416.128863823503
35,-3350.121685469986
36,-3531.811547535852
37,-3723.0282188486167
38,-3259.616997624443
39,-3327.665635102295
40,-3420.8922684469526
41,-3497.787228796926
42,-3918.327808410053
43,-3723.0282188486167
44,-3565.835866274778
45,-3594.4162940154756
46,-3823.0597159410595
47,-3306.570557484161
48,-3729.833082596402
49,-3855.0425755556503
50,-2756.057080288336
51,-3395.7142725801473
52,-2918.693323860403
53,-3741.401350967637
54,-3723.0282188486167
55,-3218.7878151377313
56,-3789.0353972021335
57,-3776.78664245612
58,-2987.4224477130338
59,-3395.7142725801473
60,-3328.346121477073
61,-3463.7629100579998
62,-3390.9508679566975
63,-3282.7535343669124
64,-3463.7629100579998
65,-3218.7878151377313
66,-3917.647322035274
67,-3327.665635102295
68,-2971.7712610931276
69,-3599.860185013704
70,-3789.0353972021335
71,-3779.5085879552344
72,-3327.665635102295
73,-3655.660067745543
74,-2987.4224477130338
75,-3429.7385913190733
76,-3409.324000075718
77,-2987.4224477130338
78,-3537.25543853408
79,-3259.616997624443
80,-3361.689953841221
81,-3327.665635102295
82,-3084.0515129315836
83,-3742.762323717194
84,-3463.7629100579998
85,-3295.6827754877045
86,-3737.3184327189656
87,-2579.13062284592
88,-3776.78664245612
89,-3463.7629100579998
90,-3737.3184327189656
91,-3838.030416186187
92,-3737.3184327189656
93,-3395.7142725801473
94,-3917.647322035274
95,-3295.6827754877045
96,-3255.5340793757714
97,-3259.616997624443
98,-3565.835866274778
99,-3708.738004978268
100,-2506.318580744618
101,-3785.632965328241
102,-3412.7264319496103
103,-3259.616997624443
104,-3531.811547535852
105,-3810.8109611950463
106,-3855.0425755556503
107,-3822.379229566281
108,-3218.7878151377313
109,-3637.286935626523
110,-3361.689953841221
111,-3825.101175065395
112,-3327.665635102295
113,-3191.5683601465903
114,-2685.286497311369
115,-3443.348318814644
116,-3531.811547535852
117,-3756.3720512127643
118,-3737.3184327189656
119,-3637.967422001301
120,-3722.3477324738383
121,-3786.993938077798
122,-3746.1647555910868
123,-3737.3184327189656
124,-3779.5085879552344
125,-3548.1432205305364
126,-3409.324000075718
127,-3255.5340793757714
128,-3637.286935626523
129,-3570.5992708982276
130,-2817.300854018403
131,-3779.5085879552344
132,-3349.4411990952076
133,-3537.9359249088584
134,-3395.7142725801473
135,-3361.689953841221
136,-3189.5269010222546
137,-3463.7629100579998
138,-3217.426842388174
139,-3420.8922684469526
140,-3735.957459969409
141,-3723.0282188486167
142,-3497.787228796926
143,-3723.0282188486167
144,-3361.689953841221
145,-3090.856376679369
146,-3416.128863823503
147,-3637.967422001301
148,-3718.9453005999458
149,-3805.367070196818
150,-3593.735807640697
151,-3349.4411990952076
152,-3917.647322035274
153,-3689.684386484469
154,-3497.787228796926
155,-3050.707680567436
156,-3189.5269010222546
157,-3918.327808410053
158,-3499.1482015464826
159,-3499.1482015464826
160,-3742.762323717194
161,-3769.981778708335
162,-3594.4162940154756
163,-3655.660067745543
164,-3742.762323717194
165,-3637.286935626523
166,-3531.811547535852
167,-3217.426842388174
168,-3531.811547535852
169,-3485.538474050912
170,-3064.317408063007
171,-3463.7629100579998
172,-3599.860185013704
173,-3463.7629100579998
174,-3844.8352799339723
175,-2715.2278978016247
176,-3259.616997624443
177,-3055.471085190886
178,-3789.0353972021335
179,-3395.7142725801473
180,-3256.2145657505503
181,-2647.1792603237723
182,-3763.1769149605498
183,-3055.471085190886
184,-3531.811547535852
185,-3741.401350967637
186,-3531.811547535852
187,-2867.6568457520134
188,-2647.1792603237723
189,-3189.5269010222546
190,-3616.1918580083884
191,-3412.7264319496103
192,-3616.1918580083884
193,-3570.5992708982276
194,-3917.647322035274
195,-2851.325172757329
196,-3703.974600354818
197,-3090.856376679369
198,-3561.072461651328
199,-3501.1896606708183
200,-3570.5992708982276
201,-3295.6827754877045
202,-3497.787228796926
203,-3863.888898427771
204,-3064.317408063007
205,-3593.735807640697
206,-3189.5269010222546
207,-3305.890071109382
208,-3599.860185013704
209,-3722.3477324738383
210,-3123.5197226687383
211,-3917.647322035274
212,-3327.665635102295
213,-3527.7286292871804
214,-3798.5622064490326
215,-2919.3738102351813
216,-3350.121685469986
217,-3537.25543853408
218,-3548.1432205305364
219,-3037.7784394466444
220,-3655.660067745543
221,-2596.142782215383
222,-3866.610843926885
223,-3814.893879443717
224,-3742.762323717194
225,-2919.3738102351813
226,-3869.332789425999
227,-3756.3720512127643
228,-3570.5992708982276
229,-3633.8845037526303
230,-3055.471085190886
231,-3838.030416186187
232,-3741.401350967637
233,-3531.811547535852
234,-3497.787228796926
235,-3537.25543853408
236,-3918.327808410053
237,-3838.030416186187
238,-3570.5992708982276
239,-3742.762323717194
240,-3463.7629100579998
241,-3708.738004978268
242,-3917.647322035274
243,-3567.196839024335
244,-3840.0718753105225
245,-3463.7629100579998
246,-3217.426842388174
247,-3798.5622064490326
248,-3917.647322035274
249,-3495.0652832978117
250,-3667.9088224915563
251,-3504.592092544711
252,-3064.317408063007
253,-3746.1647555910868
254,-3567.196839024335
255,-3282.7535343669124
256,-3742.762323717194
257,-3876.137653173784
258,-3917.647322035274
259,-2755.3765939135574
260,-3742.762323717194
261,-3779.5085879552344
262,-3189.5269010222546
263,-2641.0548829507657
264,-3621.6357490066166
265,-3780.1890743300128
266,-3680.15757723757
267,-3603.943103262375
268,-3805.367070196818
269,-3217.426842388174
270,-3746.1647555910868
271,-3409.324000075718
272,-3327.665635102295
273,-3616.1918580083884
274,-3416.128863823503
275,-3382.785031459355
276,-3571.279757273006
277,-3497.787228796926
278,-3499.1482015464826
279,-3293.641316363369
280,-3655.660067745543
281,-3293.641316363369
282,-3772.0232378326705
283,-2997.6297433347117
284,-2984.700502213919
285,-3594.4162940154756
286,-3413.4069183243887
287,-3495.0652832978117
288,-2817.300854018403
289,-3501.1896606708183
290,-3708.738004978268
291,-3355.565576468214
292,-3718.9453005999458
293,-3825.101175065395
294,-3838.030416186187
295,-3531.811547535852
296,-2647.1792603237723
297,-3153.4611231589934
298,-3327.665635102295
299,-3537.25543853408
300,-3295.6827754877045
301,-3499.1482015464826
302,-3104.4661041749396
303,-3497.787228796926
304,-3823.0597159410595
305,-3259.616997624443
306,-3838.030416186187
307,-3420.8922684469526
308,-3123.5197226687383
309,-3171.153768903235
310,-3017.3638482032884
311,-3372.577735837677
312,-2987.4224477130338
313,-3825.7816614401736
314,-3409.324000075718
315,-3708.738004978268
316,-3405.2410818270464
317,-2950.676183474993
318,-3190.207387397033
319,-2817.300854018403
320,-3655.660067745543
321,-3116.0343725461744
322,-3409.324000075718
323,-3838.030416186187
324,-3695.1282774826973
325,-3531.811547535852
326,-3255.5340793757714
327,-3548.1432205305364
328,-2924.1372148586306
329,-3321.541257729288
330,-3321.541257729288
331,-3354.885090093436
332,-3917.647322035274
333,-3599.860185013704
334,-2851.325172757329
335,-3616.1918580083884
336,-3746.1647555910868
337,-3689.684386484469
